S&P 500,Small Cap,Real Estate,Gold,T-Bill,T-Bill Spread
0.4549,0.6178,0.0268,0.0127,0.0429,0.022800000000000004
-0.0883,-0.4692,-0.0263,-0.0073,0.0256,-0.010400000000000003
-0.20010000000000003,-0.46619999999999995,0.022400000000000003,0.0694,0.11689999999999999,9.999999999998899e-05
-0.3807,-0.3897,0.0129,-0.08900000000000001,0.1282,0.05370000000000001
0.0182,0.3429,-0.0021,0.35159999999999997,0.1264,-0.08609999999999998
0.4885,1.4646000000000001,-0.0454,0.263,0.002,-0.0088
-0.026600000000000002,0.1822,0.0137,0.2978,-0.012199999999999999,-0.0757
0.4249,0.4874,0.0658,-0.0248,-0.0274,-0.041800000000000004
0.3006,0.9007,0.0174,-0.0134,-0.0126,-0.0478
-0.3713,-0.5458,-0.0029,-0.03,-0.025099999999999997,-0.010699999999999998
0.3298,0.045,0.0196,0.030299999999999997,0.0292,-0.0427
-0.011000000000000001,-0.057300000000000004,-0.013000000000000001,-0.0123,0.0005,-0.0436
-0.1131,-0.32289999999999996,0.025699999999999997,-0.0235,-0.0067,-0.053200000000000004
-0.2065,-0.1407,-0.1666,-0.09029999999999999,-0.0891,0.019599999999999992
0.09300000000000001,0.4839,-0.052300000000000006,-0.0828,-0.0797,-0.0179
0.2147,1.3113,0.0824,-0.0287,-0.025,-0.0204
0.1636,0.6592,0.1396,-0.0225,-0.018799999999999997,-0.0215
0.3284,0.8689,0.0932,0.0029,-0.0183,-0.0335
-0.2248,-0.2832,0.050499999999999996,-0.1535,-0.1503,-0.023299999999999987
-0.0334,-0.09,0.1142,-0.0812,-0.0757,-0.0030000000000000027
0.0263,-0.0359,-0.0091,-0.028999999999999998,-0.0189,-0.0088
0.20809999999999998,0.2992,0.022099999999999998,-0.0677,0.0326,-0.0362
0.2348,0.4422,-0.0216,0.034300000000000004,-0.0446,0.007300000000000001
0.1668,-0.0196,0.0004,-0.056600000000000004,-0.042300000000000004,0.017099999999999997
0.1727,0.0043,0.0362,-0.0109,0.0096,-0.0054
-0.0194,-0.065,0.1069,-0.0006,0.0113,-0.022400000000000003
0.5371,0.6513,0.0168,0.013300000000000001,0.0169,-0.0237
0.321,0.2662,-0.0037,-0.004,0.0134,0.030400000000000003
0.0433,-0.038599999999999995,-0.020099999999999996,-0.0301,-0.0034999999999999996,0.0474
-0.1298,-0.1764,-0.0018,-0.029300000000000003,0.0032,-0.0347
0.41229999999999994,0.6642,-0.0108,-0.0131,0.0001,0.038000000000000006
0.1015,0.1082,-0.0159,-0.017,0.0163,0.05929999999999999
-0.0101,-0.0479,-0.0059,-0.0086,0.0149,-0.08650000000000001
0.2579,0.2896,0.003,-0.0072,0.0167,0.0029
-0.1001,-0.10949999999999999,-0.01,-0.0137,0.014199999999999999,-0.0288
0.20629999999999998,0.17989999999999998,0.0049,-0.020099999999999996,0.0149,0.0145
0.153,0.21969999999999998,0.0029,-0.009300000000000001,0.0255,-0.001800000000000003
0.10279999999999999,0.4291,-0.0026,-0.0183,0.0199,0.0317
-0.1298,-0.1252,-0.0216,-0.0332,0.013500000000000002,0.0188
0.20149999999999998,1.104,-0.006999999999999999,-0.0345,0.012199999999999999,0.05700000000000001
0.0582,0.5346,-0.005600000000000001,0.0741,0.0059,0.0197
-0.136,-0.3696,0.0075,-0.011200000000000002,0.0044,0.11
-0.019,-0.2327,0.025099999999999997,-0.1423,0.0078000000000000005,-0.09809999999999999
0.1061,0.1281,0.0095,0.13,0.0103,-0.052799999999999986
0.1484,-0.0304,-0.0042,0.4388,0.0063,0.012
-0.21170000000000003,-0.4354,-0.048600000000000004,0.5911,-0.0154,0.030999999999999996
-0.3404,-0.34850000000000003,-0.0202,0.479,-0.04,0.052100000000000014
0.2811,0.4901,-0.0015,-0.2968,-0.0108,0.0204
0.1809,0.41619999999999996,0.0316,-0.0855,0.0011,-0.1049
-0.1282,0.22460000000000002,0.0745,0.1494,-0.013500000000000002,0.0372
-0.023,0.1862,0.061500000000000006,0.2568,-0.0169,0.07300000000000001
0.0461,0.2531,0.004,0.9997,-0.0286,0.0828
0.17079999999999998,0.2657,-0.0455,0.023700000000000002,-0.01,0.1278
-0.1251,-0.1199,-0.0351,-0.3812,0.046900000000000004,0.053500000000000006
0.1598,0.2242,-0.0315,0.11359999999999999,0.0652,-0.21400000000000002
0.1787,0.309,0.0092,-0.1984,0.04650000000000001,0.0522
0.021099999999999997,-0.1777,0.006999999999999999,-0.22440000000000002,0.0538,-0.0403
0.2643,0.20559999999999998,0.0354,0.0212,0.0354,-0.17569999999999997
0.1721,0.0105,0.0842,0.1766,0.0482,-0.1811
0.0132,-0.17679999999999998,0.0327,0.1924,0.0129,0.10289999999999999
0.11599999999999999,0.124,0.0268,-0.1884,0.0215,-0.014900000000000004
0.2564,0.022000000000000002,-0.0024,-0.07150000000000001,0.0331,-0.09160000000000001
-0.0864,-0.3207,-0.064,-0.08689999999999999,0.0131,0.0119
0.2636,0.4192,-0.031400000000000004,-0.1128,0.022400000000000003,-0.0935
0.0446,0.21969999999999998,-0.0202,-0.0839,0.0052,-0.05760000000000001
0.0703,0.2237,-0.0058,0.14529999999999998,0.0024,-0.1092
-0.0131,-0.0748,-0.0016,-0.0472,0.0154,0.1197
0.33799999999999997,0.29,-0.0073,-0.0152,0.0288,-0.17540000000000003
0.18739999999999998,0.1094,-0.0087,-0.0765,0.0163,0.0346
0.30879999999999996,0.20120000000000002,0.022799999999999997,-0.22719999999999999,0.033,-0.048
0.263,-0.1483,0.0475,-0.024,0.0311,-0.0999
0.1772,0.34630000000000005,0.048600000000000004,-0.0179,0.019,0.1255
-0.1201,-0.1226,0.0571,-0.08539999999999999,0.0235,-0.1048
-0.132,0.3012,0.050499999999999996,-0.0079,0.0182,-0.021399999999999995
-0.2378,-0.0582,0.0702,0.22649999999999998,-0.0075,-0.1319
0.25989999999999996,0.8837,0.0779,0.17679999999999998,-0.0086,0.006200000000000001
0.0725,0.1379,0.10060000000000001,0.013500000000000002,-0.0182,-0.0302
0.0137,0.005,0.09759999999999999,0.1388,-0.0026,0.0027
0.1275,0.1553,-0.0079,0.2014,0.021400000000000002,0.027100000000000003
0.013500000000000002,-0.12710000000000002,-0.0911,0.2675,0.0027,-0.05619999999999999
-0.3661,-0.4489,-0.1208,0.042199999999999994,0.0128,-0.1871
0.226,0.4357,-0.064,0.21719999999999998,-0.025,0.10970000000000002
0.1313,0.2635,-0.0553,0.2734,-0.0134,-0.082
-0.0084,-0.16620000000000001,-0.0665,0.08800000000000001,-0.028300000000000002,-0.1553
0.1391,0.16699999999999998,0.0461,0.0388,-0.0163,-0.028399999999999998
0.3019,0.48450000000000004,0.0908,-0.2869,-0.014199999999999999,0.09029999999999999
0.1267,0.0083,0.037200000000000004,-0.0063,-0.0072,-0.1063
0.0064,-0.0987,0.0443,-0.1274,-0.0067,-0.0122
0.095,0.15109999999999998,0.0317,0.0591,-0.0172,-0.003599999999999999
0.1909,0.1308,0.0401,0.10339999999999999,-0.0115,-0.0183
-0.0602,-0.1783,0.0256,-0.0279,0.0003,0.019200000000000002
0.2828,0.09759999999999999,0.0137,0.1642,-0.0022,-0.0741
0.16440000000000002,0.3292,0.0894,0.225,-0.009899999999999999,-0.10830000000000001
0.2002,0.1369,0.1105,-0.1008,-0.0653,0.0417
-0.23010000000000003,-0.2803,-0.0075,-0.0555,-0.0416,0.1865
0.21969999999999998,0.0176,0.0225,0.0959,0.0166,0.0115
0.21539999999999998,0.0571,0.014499999999999999,0.2259,0.0216,0.0643
