Year,S&P 500 Return,Small Cap Return,Real Estate Return,Gold Return,T-Bill,T-Bill Spread,Vol_S&P_500_2y,Vol_Small_Cap_2y,Vol_S&P_500_5y,Vol_Small_Cap_5y,Drawdown_S&P_500,Drawdown_Small_Cap,Regime_KMeans,Regime_GMM,Regime_HMM
1932,1.82,34.29,-0.21,35.16,12.64,-8.61,28.206489501531387,51.80264278972646,31.31898146491996,51.52807361041164,-54.01440349881742,-76.77816539994554,2,2,0
1933,48.85,146.46,-4.54,26.3,0.2,-0.8800000000000001,33.25523191920334,79.31616764569503,32.65188080340855,83.7473699288521,-31.550439607989738,-42.76746644470573,2,2,1
1934,-2.66,18.22,1.37,29.78,-1.22,-7.569999999999999,36.42307029891907,90.67937361936286,32.50444015823069,77.58766738341862,-33.37119791441721,-32.33969883093113,2,2,0
1935,42.49,48.74,6.58,-2.48,-2.74,-4.18,31.92587117057264,21.58089896181343,35.712933651549825,67.33883552601723,-5.060619908253069,0.0,2,2,1
1936,30.06,90.07,1.74,-1.34,-1.26,-4.78,8.789337290148874,29.22472326643999,23.445529851125137,51.54471583004411,0.0,0.0,1,1,1
1937,-37.13,-54.58,-0.29,-3.0,-2.51,-1.0699999999999998,47.51050462792414,102.2829958986341,35.8782673773414,75.59502510086229,-37.13,-54.58,2,2,0
1938,32.98,4.5,1.96,3.03,2.92,-4.2700000000000005,49.57525642898886,41.77586863250125,32.85592442771927,53.692939014362025,-16.395474,-52.5361,2,2,1
1939,-1.1,-5.73,-1.3,-1.23,0.05,-4.36,24.09819910283756,7.233702371538507,32.67519318994151,55.09639688763685,-17.315123786000004,-55.25578147,0,0,0
1940,-11.31,-32.29,2.57,-2.35,-0.67,-5.32,7.219560235914709,18.78075610831475,29.42191785047331,55.19631355443948,-26.6667832858034,-69.70368963333699,0,0,1
1941,-20.65,-14.07,-16.66,-9.03,-8.91,1.959999999999999,6.604377336282405,12.88348555321897,26.196130821172808,23.371598789984397,-41.810092537285,-73.9663805019265,0,0,0
1942,9.3,48.39,-5.23,-8.28,-7.97,-1.79,21.17784809653712,44.16588955291177,20.69249453304265,30.146127446157987,-36.39843114325251,-61.3687120268087,0,0,1
1943,21.47,131.13,8.24,-2.87,-2.5,-2.04,8.60548952704035,58.50601507537495,16.597821242560723,66.2616592004758,-22.74317430970881,-10.711504107562952,2,2,1
1944,16.36,65.92,13.96,-2.25,-1.88,-2.15,3.6133156518634255,46.11043320117479,18.189374095883565,65.56705559959208,-10.103957626777175,0.0,1,1,0
1945,32.84,86.89,9.32,0.29,-1.83,-3.35,11.653119753954362,14.828029201482003,20.10109524379207,53.31994673665757,0.0,0.0,1,1,1
1946,-22.48,-28.32,5.05,-15.35,-15.03,-2.33,39.11714713523983,81.46577226050216,20.844042794045503,58.62933114065008,-22.480000000000004,-28.32,2,2,0
1947,-3.34,-9.0,11.42,-8.12,-7.57,-0.3000000000000007,13.53402379191055,13.661303012524163,21.916190362378224,66.72543165840143,-25.069168,-34.77119999999999,0,0,1
1948,2.63,-3.59,-0.91,-2.9,-1.89,-0.8799999999999999,4.221427483683808,3.82544768621946,20.82206810093561,50.71219527884789,-23.098487118400005,-37.11291391999999,0,0,2
1949,20.81,29.92,2.21,-6.77,3.26,-3.62,12.85520128197148,23.695148237561245,21.502222443273165,45.24606889001521,-7.09528228773905,-18.297097764863995,1,1,2
1950,23.48,44.22,-2.16,3.43,-4.46,0.7300000000000004,1.8879751057684344,10.111626970967713,18.8331317098352,29.68871300679775,0.0,0.0,1,1,2
1951,16.68,-1.96,0.04,-5.66,-4.23,1.71,4.80832611206866,32.65419115519479,11.772933788992452,23.654549668087157,0.0,-1.9599999999999924,1,1,2
1952,17.27,0.43,3.62,-1.09,0.96,-0.54,0.4171930009016068,1.6899852070363195,8.058649390561683,21.879084304421927,0.0,-1.5384279999999908,1,1,2
1953,-1.94,-6.5,10.69,-0.06,1.13,-2.24,13.58352126659362,4.9002499936229365,10.003341941571335,22.48769041053353,-1.9399999999999975,-7.938430179999985,1,1,2
1954,53.71,65.13,1.68,1.33,1.69,-2.37,39.350492373031386,50.65005873639242,20.195206114323277,32.36685542341118,0.0,0.0,2,2,1
1955,32.1,26.62,-0.37,-0.4,1.34,3.04,15.28057754144134,27.230682143493976,20.731030606315745,29.97920162379248,0.0,0.0,1,1,2
1956,4.33,-3.86,-2.01,-3.01,-0.35,4.74,19.636355313550464,21.552614690566013,22.422953195330894,30.286025325222223,0.0,-3.859999999999988,1,1,2
1957,-12.98,-17.64,-0.18,-2.93,0.32,-3.47,12.240018382339198,9.743931444750723,27.26975119065079,33.563551659501144,-12.980000000000002,-20.81909599999999,0,1,2
1958,41.23,66.42,-1.08,-1.31,0.01,3.8,38.33225860812276,59.4393960265412,27.38191866907796,38.57618799207617,0.0,0.0,2,2,1
1959,10.15,10.82,-1.59,-1.7,1.63,5.93,21.976878759277927,39.31513703397207,21.79833089940604,32.42972586994843,0.0,0.0,1,1,2
1960,-1.01,-4.79,-0.59,-0.86,1.49,-8.65,7.891311678041953,11.037936854322126,20.26741917462606,33.00955013325692,-1.0099999999999985,-4.790000000000007,1,1,2
1961,25.79,28.96,0.3,-0.72,1.67,0.29,18.950461735799507,23.864853865046037,21.44304968981791,32.77957260246085,0.0,0.0,1,1,2
1962,-10.01,-10.95,-1.0,-1.37,1.42,-2.88,25.314422766478422,28.22063163715516,20.57981535388498,31.11918491863182,-10.010000000000002,-10.949999999999992,0,1,2
1963,20.63,17.99,0.49,-2.01,1.49,1.45,21.665751775555847,20.463670247538744,14.832423942161308,16.347297330139998,0.0,0.0,1,1,2
1964,15.3,21.97,0.29,-0.93,2.55,-0.1800000000000001,3.768879143724497,2.814284989122857,15.09911586815599,17.480179632944342,0.0,0.0,1,1,2
1965,10.28,42.91,-0.26,-1.83,1.99,3.17,3.549676041556671,14.80681599804637,13.80341877941838,19.81677521697216,0.0,0.0,1,1,2
1966,-12.98,-12.52,-2.16,-3.32,1.35,1.88,16.44730373039913,39.19492888117036,15.216866628843135,23.55084924158792,-12.98,-12.52,0,1,2
1967,20.15,110.4,-0.7,-3.45,1.22,5.7,23.42644766071035,86.91756554345044,13.874286648328988,45.98474475301567,0.0,0.0,2,2,1
1968,5.82,53.46,-0.56,7.41,0.59,1.97,10.132840174403292,40.26266012076203,12.753575185021646,45.2123139199931,0.0,0.0,1,1,2
1969,-13.6,-36.96,0.75,-1.12,0.44,11.0,13.732013690642797,63.93659515488764,14.835025446557204,58.01328054850891,-13.6,-36.95999999999999,0,0,2
1970,-1.9,-23.27,2.51,-14.23,0.78,-9.81,8.273149339882671,9.6802918344439,14.103946965300166,62.149437004690576,-15.2416,-51.629408,0,0,2
1971,10.61,12.81,0.95,13.0,1.03,-5.279999999999999,8.84590583264378,25.512412665210647,12.768748176700797,60.01272256780226,-6.24873376,-45.43313516480001,0,0,2
1972,14.84,-3.04,-0.42,43.88,0.63,1.2,2.991061684419327,11.207642481806795,11.24168047935894,35.13205018213429,0.0,-47.09196785579008,0,0,2
1973,-21.17,-43.54,-4.86,59.11,-1.54,3.1,25.4629151905276,28.637824638055196,15.3652116809369,23.50214777419294,-21.17,-70.12812505137909,0,0,1
1974,-34.04,-34.85,-2.02,47.9,-4.0,5.210000000000001,9.100464273870909,6.144757928511216,20.87359025179904,23.11022652420357,-48.00373200000001,-80.53847347097347,0,0,0
1975,28.11,49.01,-0.15,-29.68,-1.08,2.04,43.94668645074394,59.29797467030387,26.1214270283995,37.44549866138789,-33.38758106520001,-71.00037931909758,2,2,1
1976,18.09,41.62,3.16,-8.55,0.11,-10.49,7.085209947489312,5.2255191129685095,27.10045442423429,42.53461002524888,-21.33739447989469,-58.93073719170599,0,0,0
1977,-12.82,22.46,7.45,14.94,-1.35,3.72,21.85667060647621,13.548165927534232,26.426091841208752,43.32462406068865,-31.421940507572188,-49.70658076496315,0,0,1
1978,-2.3,18.62,6.15,25.68,-1.69,7.300000000000001,7.438763338082541,2.715290039756325,24.718575403934587,32.876705583132896,-32.99923587589803,-40.341946103399295,0,0,0
1979,4.61,25.31,0.4,99.97,-2.86,8.280000000000001,4.886107857999156,4.730544366137989,16.22929049589045,13.1804829198327,-29.91050064977693,-25.242492662169667,0,0,1
1980,17.08,26.57,-4.55,2.37,-1.0,12.78,8.81762156139632,0.890954544294953,13.11722036103686,8.769066655009624,-17.939214160758826,-5.37942296250814,1,0,2
1981,-12.51,-11.99,-3.51,-38.12,4.69,5.3500000000000005,20.92328965530997,27.26603748255328,12.570444304001343,16.04874543383382,-28.205018469247893,-16.72443014930341,0,0,2
1982,15.98,22.42,-3.15,11.36,6.52,-21.4,20.14547219600477,24.331544340629108,12.5061292972686,16.04485057580786,-16.732180420633707,0.0,1,1,2
1983,17.87,30.9,0.92,-19.84,4.65,5.220000000000001,1.3364318164431546,5.996265504461924,12.97940406952492,17.393725017948334,-1.8522210618009416,0.0,1,1,2
1984,2.11,-17.77,0.7,-22.44,5.38,-4.03,11.144002871500057,34.41488704034927,13.217788392919598,23.023688453416884,0.0,-17.769999999999992,1,1,2
1985,26.43,20.56,3.54,2.12,3.54,-17.57,17.19683691845688,27.103402922880377,15.301891386361364,22.08165596145366,0.0,-0.8635119999999835,1,1,2
1986,17.21,1.05,8.42,17.66,4.82,-18.11,6.5195245225400935,13.795653300949562,8.755661025873499,19.64435211453923,0.0,0.0,1,1,2
1987,1.32,-17.68,3.27,19.24,1.29,10.29,11.235926753054306,13.244110011624068,10.918100567406409,22.07245274091672,0.0,-17.68,1,1,2
1988,11.6,12.4,2.68,-18.84,2.15,-1.4900000000000002,7.2690577105978065,21.26977197809137,10.5717751584112,17.36027563145246,0.0,-7.472319999999992,1,1,2
1989,25.64,2.2,-0.24,-7.15,3.31,-9.16,9.927779207859208,7.212489168102837,10.453145459621242,14.372946114141042,0.0,-5.436711039999991,1,1,2
1990,-8.64,-32.07,-6.4,-8.69,1.31,1.19,24.23962045907488,24.232549391263007,13.41918700965152,17.805952656345077,-8.639999999999999,-35.763157809472,0,0,2
1991,26.36,41.92,-3.14,-11.28,2.24,-9.35,24.748737341529196,52.318830739992656,15.245683979408737,28.494679854316704,0.0,-8.83507356320266,1,1,2
1992,4.46,21.97,-2.02,-8.39,0.52,-5.76,15.48563850798544,14.10678028467163,14.792000540832875,27.36827049705557,0.0,0.0,1,1,2
1993,7.03,22.37,-0.58,14.53,0.24,-10.92,1.817264427649816,0.2828427124751191,14.954236857827288,28.00777874091414,0.0,0.0,1,1,2
1994,-1.31,-7.48,-0.16,-4.72,1.54,11.97,5.897270555095923,21.107137418418453,13.08477932561341,29.105217229905744,-1.3100000000000054,-7.480000000000003,1,1,2
1995,33.8,29.0,-0.73,-1.52,2.88,-17.540000000000003,24.82651908745971,25.795255377685265,15.1556514211696,18.12476841231363,0.0,0.0,1,1,2
1996,18.74,10.94,-0.87,-7.65,1.63,3.46,10.649028124669478,12.77034846822906,13.945398165703269,14.318552650320562,0.0,0.0,1,1,2
1997,30.88,20.12,2.28,-22.72,3.3,-4.8,8.58427632360478,6.491240251292536,15.076066131454857,14.12767496794862,0.0,0.0,1,1,2
1998,26.3,-14.83,4.75,-2.4,3.11,-9.99,3.2385490578346383,24.71338200246985,14.054025046227869,18.414429125009608,0.0,-14.830000000000002,1,1,2
1999,17.72,34.63,4.86,-1.79,1.9,12.55,6.066976182580707,34.97350139748665,7.153664795054367,19.423824803575688,0.0,0.0,1,1,2
2000,-12.01,-12.26,5.71,-8.54,2.35,-10.48,21.02228460467609,33.15623696983723,16.748127656547165,21.189498578305297,-12.009999999999996,-12.26,1,1,2
2001,-13.2,30.12,5.05,-0.79,1.82,-2.14,0.8414570696127661,29.9671853866859,21.118260345018957,23.52549956961599,-23.62468,0.0,1,1,2
2002,-23.78,-5.82,7.02,22.65,-0.75,-13.19,7.481189744953759,25.41341771584454,21.70666211097413,24.01979954121188,-41.786731096,-5.819999999999998,0,0,0
2003,25.99,88.37,7.79,17.68,-0.86,0.62,35.19270449965449,66.60238771996092,21.60943844712305,40.16443663242399,-26.6571025078504,0.0,2,2,1
2004,7.25,13.79,10.06,1.35,-1.82,-3.02,13.251181079435948,52.736023740892726,19.763594055737933,40.256947847545554,-21.33974243966955,0.0,1,1,0
2005,1.37,0.5,9.76,13.88,-0.26,0.27,4.157787873377044,9.397449121969382,19.160666220150063,37.80538810804622,-20.26209691109301,0.0,1,0,1
2006,12.75,15.53,-0.79,20.14,2.14,2.71,8.046875169902986,10.627814921233952,18.34916292368673,37.91213829369168,-10.095514267257386,0.0,1,0,2
2007,1.35,-12.71,-9.11,26.75,0.27,-5.619999999999999,8.061017305526716,19.96869550070819,10.24416516852398,39.29755055979956,-8.881803709865348,-12.709999999999994,0,0,2
2008,-36.61,-44.89,-12.08,4.22,1.28,-18.71,26.841773413841363,22.754696218583216,19.49698745960513,24.76845534142173,-42.24017537168365,-51.894481000000006,0,0,0
2009,22.6,43.57,-6.4,21.72,-2.5,10.97,41.867792514055495,62.55066586376202,22.454886327924257,32.84673499756106,-29.186455005684152,-30.93490637170001,2,2,1
2010,13.13,26.35,-5.53,27.34,-1.34,-8.200000000000001,6.696301217836703,12.176378772032391,23.199570685682957,34.84027841450184,-19.888636547930485,-12.73625420064295,0,0,2
2011,-0.84,-16.62,-6.65,8.8,-2.83,-15.53,9.878281733176127,30.38437838758601,22.50527560373345,35.502992831591015,-20.561572000927868,-27.239488752496094,0,0,2
2012,13.91,16.7,4.61,3.88,-1.63,-2.84,10.429825022501632,23.560797949135853,23.38762215360937,35.48517817342901,-9.511686666256931,-15.08848337416294,1,1,2
2013,30.19,48.45,9.08,-28.69,-1.42,9.03,11.511698397717051,22.45064030267292,11.628657274165406,25.928284748513597,0.0,0.0,1,1,2
2014,12.67,0.83,3.72,-0.63,-0.72,-10.63,12.388510806388366,33.67242492010343,11.0079389533191,24.75443132047276,0.0,0.0,1,1,2
2015,0.64,-9.87,4.43,-12.74,-0.67,-1.2200000000000002,8.506494577674227,7.566042558696358,12.515343782733254,25.92648587834461,0.0,-9.870000000000005,1,1,2
2016,9.5,15.11,3.17,5.91,-1.72,-0.3599999999999999,6.26496608131289,17.66352739404007,10.73223042987803,22.012795824247373,0.0,0.0,1,1,2
2017,19.09,13.08,4.01,10.34,-1.15,-1.83,6.781154031579078,1.43542676580975,11.041502162296576,21.971315390754437,0.0,0.0,1,1,2
2018,-6.02,-17.83,2.56,-2.79,0.03,1.92,17.755451275594236,21.856670606476285,9.929528186172789,14.274669173049256,-6.020000000000012,-17.830000000000005,1,1,2
2019,28.28,9.76,1.37,16.42,-0.22,-7.41,24.253762594698603,19.50907609293696,13.791686626370248,14.907794940902653,0.0,-9.810208000000015,1,1,2
2020,16.44,32.92,8.94,22.5,-0.99,-10.83,8.372144289248803,16.37659305228052,12.800016406239484,18.25953915081108,0.0,0.0,1,1,2
2021,20.02,13.69,11.05,-10.08,-6.53,4.169999999999999,2.5314422766480864,13.597663402217398,12.851280870014474,18.18289388408794,0.0,0.0,1,1,2
2022,-23.01,-28.03,-0.75,-5.55,-4.16,18.65,30.426804794457155,29.500494911102848,21.10386267961389,24.738117753782376,-23.01,-28.030000000000005,0,0,2
2023,21.97,1.76,2.25,9.59,1.66,1.15,31.80566301777092,21.064711011547384,20.441596072714088,22.21472822251046,-6.095296999999997,-26.763328,1,1,1
2024,21.54,5.71,1.45,22.59,2.16,6.43,0.3040559159126406,2.793071785687586,19.353929058462523,22.11789207858657,0.0,-22.5815140288,1,1,2
